profile	1.1.0	1.1.0--sm_80	cpu_arch=x86_64,gpu_arch=sm_80,cuda_version=12.3.103	# Last updated Sat Feb 24 14:37:33 2024

  total time	     percent	cum. percent	       calls	 time / call	          volume	name	aux	comment
     9.02547	     80.1267	     80.1267	          10	    0.902547	     32x32x32x64	N4quda7RNGInitE	GPU-offline,vol=2097152stride=1081344precision=8geometry=4Nc=3	# 0.00 Gflop/s, 0.00 GB/s, tuning took 117.608298 seconds at Sat Feb 24 14:35:37 2024
      1.1636	     10.3302	     90.4569	          10	     0.11636	     32x32x32x64	N4quda10GaugeGaussIdLi3EL21QudaReconstructType_s12EEE	GPU-offline,vol=2097152stride=1081344precision=8geometry=4Nc=3,lie_group	# 0.00 Gflop/s, 7.14 GB/s, tuning took 71.922685 seconds at Sat Feb 24 14:36:50 2024
    0.228775	     2.03103	     92.4879	          20	   0.0114388	     16x32x32x64	N4quda6WilsonINS_9WilsonArgIdLi3ELi4EL21QudaReconstructType_s12EEEEE	policy_kernel=interior,comm=0000,commDim=0000,parity=1	# 121.00 Gflop/s, 211.20 GB/s, tuning took 11.029129 seconds at Sat Feb 24 14:37:11 2024
    0.220037	     1.95345	     94.4414	          80	  0.00275046	 bytes=301989888	cudaMemcpyDefault	copy,cuda_gauge_field.cpp,576	# 0.00 Gflop/s, 109.80 GB/s, tuning took 0.045797 seconds at Sat Feb 24 14:33:17 2024
    0.164994	     1.46479	     95.9061	          20	  0.00824969	     32x32x32x64	N4quda9CopyGaugeINS_12CopyGaugeArgIddLi18ELb0ENS_5gauge11FloatNOrderIdLi18ELi2ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS2_8QDPOrderIdLi18EEEEEEE	GPU-offline,vol=2097152stride=1048576precision=8geometry=4Nc=3,vol=2097152stride=1081344precision=8geometry=4Nc=3	# 0.00 Gflop/s, 247.09 GB/s, tuning took 10.246102 seconds at Sat Feb 24 14:33:27 2024
    0.112176	    0.995882	      96.902	          40	  0.00280441	 bytes=301989888	cudaMemcpyDefault	saveCPUField,cuda_gauge_field.cpp,658	# 0.00 Gflop/s, 107.68 GB/s, tuning took 0.029238 seconds at Sat Feb 24 14:37:00 2024
   0.0983177	    0.872848	     97.7749	          20	  0.00491588	     32x32x32x64	N4quda9CopyGaugeINS_12CopyGaugeArgIfdLi18ELb0ENS_5gauge11FloatNOrderIfLi18ELi4ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS3_IdLi18ELi2ELi12ELS4_0ELb1ELS5_n2147483648ELb0EEEEEEE	GPU-offline,vol=2097152stride=1081344precision=8geometry=4Nc=3,vol=2097152stride=1081344precision=4geometry=4Nc=3	# 0.00 Gflop/s, 253.40 GB/s, tuning took 6.143069 seconds at Sat Feb 24 14:33:39 2024
   0.0835789	       0.742	     98.5169	          10	  0.00835789	     32x32x32x64	N4quda9CopyGaugeINS_12CopyGaugeArgIddLi18ELb0ENS_5gauge8QDPOrderIdLi18EEENS2_11FloatNOrderIdLi18ELi2ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEEEEEE	GPU-offline,vol=2097152stride=1081344precision=8geometry=4Nc=3,vol=2097152stride=1048576precision=8geometry=4Nc=3	# 0.00 Gflop/s, 243.89 GB/s, tuning took 10.321821 seconds at Sat Feb 24 14:37:00 2024
   0.0816811	    0.725151	      99.242	          20	  0.00408405	     32x32x32x64	N4quda9CopyGaugeINS_12CopyGaugeArgIsdLi18ELb0ENS_5gauge11FloatNOrderIsLi18ELi4ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS3_IdLi18ELi2ELi12ELS4_0ELb1ELS5_n2147483648ELb0EEEEEEE	GPU-offline,vol=2097152stride=1081344precision=8geometry=4Nc=3,vol=2097152stride=1081344precision=2geometry=4Nc=3	# 0.00 Gflop/s, 254.18 GB/s, tuning took 5.033826 seconds at Sat Feb 24 14:33:33 2024
   0.0351505	    0.312061	     99.5541	          20	  0.00175753	     16x32x32x64	N4quda15CopyColorSpinorILi4ELi3ENS_11colorspinor11FloatNOrderIdLi4ELi3ELi2ELb0ELb0EEENS1_21SpaceSpinorColorOrderIdLi4ELi3EEESt5tupleIJRNS_16ColorSpinorFieldERKS7_19QudaFieldLocation_sPdPKdEEEE	GPU-offline,vol=1048576,parity=1,precision=8,order=9,Ns=4,Nc=3vol=1048576,parity=1,precision=8,order=2,Ns=4,Nc=3,NonRelBasis	# 0.00 Gflop/s, 229.10 GB/s, tuning took 0.265536 seconds at Sat Feb 24 14:37:00 2024
   0.0340582	    0.302364	     99.8565	          20	  0.00170291	     16x32x32x64	N4quda15CopyColorSpinorILi4ELi3ENS_11colorspinor21SpaceSpinorColorOrderIdLi4ELi3EEENS1_11FloatNOrderIdLi4ELi3ELi2ELb0ELb0EEESt5tupleIJRNS_16ColorSpinorFieldERKS7_19QudaFieldLocation_sPdPKdEEEE	GPU-offline,vol=1048576,parity=1,precision=8,order=2,Ns=4,Nc=3vol=1048576,parity=1,precision=8,order=9,Ns=4,Nc=3,RelBasis	# 0.00 Gflop/s, 236.45 GB/s, tuning took 0.240945 seconds at Sat Feb 24 14:37:12 2024
  0.00636518	   0.0565091	      99.913	          30	 0.000212173	     32x32x32x64	N4quda12ExtractGhostIdLi3ENS_5gauge11FloatNOrderIdLi18ELi2ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEEEE	GPU-offline,vol=2097152stride=1081344precision=8geometry=4Nc=3,extract	# 0.00 Gflop/s, 207.57 GB/s, tuning took 0.372107 seconds at Sat Feb 24 14:33:27 2024
   0.0046272	   0.0410795	      99.954	          30	  0.00015424	     32x32x32x64	N4quda9CopyGaugeINS_12CopyGaugeArgIddLi18ELb0ENS_5gauge11FloatNOrderIdLi18ELi2ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEES6_EEEE	GPU-offline,vol=2097152stride=1081344precision=8geometry=4Nc=3,vol=2097152stride=1081344precision=8geometry=4Nc=3,ghost	# 0.00 Gflop/s, 294.45 GB/s, tuning took 0.241732 seconds at Sat Feb 24 14:33:27 2024
  0.00217893	   0.0193441	     99.9734	          90	 2.42103e-05	   bytes=6291456	cudaMemcpyDeviceToDevice	exchangeGhost,cuda_gauge_field.cpp,193	# 0.00 Gflop/s, 519.73 GB/s, tuning took 0.001325 seconds at Sat Feb 24 14:33:27 2024
  0.00104125	  0.00924402	     99.9826	          20	 5.20623e-05	     32x32x32x64	N4quda9CopyGaugeINS_12CopyGaugeArgIfdLi18ELb0ENS_5gauge11FloatNOrderIfLi18ELi4ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS3_IdLi18ELi2ELi12ELS4_0ELb1ELS5_n2147483648ELb0EEEEEEE	GPU-offline,vol=2097152stride=1081344precision=8geometry=4Nc=3,vol=2097152stride=1081344precision=4geometry=4Nc=3,ghost	# 0.00 Gflop/s, 654.26 GB/s, tuning took 0.173166 seconds at Sat Feb 24 14:33:39 2024
  0.00103629	      0.0092	     99.9918	          20	 5.18144e-05	     32x32x32x64	N4quda9CopyGaugeINS_12CopyGaugeArgIsdLi18ELb0ENS_5gauge11FloatNOrderIsLi18ELi4ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS3_IdLi18ELi2ELi12ELS4_0ELb1ELS5_n2147483648ELb0EEEEEEE	GPU-offline,vol=2097152stride=1081344precision=8geometry=4Nc=3,vol=2097152stride=1081344precision=2geometry=4Nc=3,ghost	# 0.00 Gflop/s, 547.83 GB/s, tuning took 0.142209 seconds at Sat Feb 24 14:33:33 2024
  0.00079872	  0.00709091	     99.9989	          30	  2.6624e-05	   bytes=3145728	cudaMemcpyDeviceToDevice	exchangeGhost,cuda_gauge_field.cpp,193	# 0.00 Gflop/s, 236.31 GB/s, tuning took 0.001348 seconds at Sat Feb 24 14:33:27 2024
  6.1044e-05	 0.000541939	     99.9995	           2	  3.0522e-05	  bytes=22020096	cudaMemset	allocateGhostBuffer,lattice_field.cpp,288	# 0.00 Gflop/s, 721.45 GB/s, tuning took 0.008873 seconds at Sat Feb 24 14:33:27 2024
 6.02411e-05	  0.00053481	         100	           2	 3.01205e-05	  bytes=22020096	cudaMemset	allocateGhostBuffer,lattice_field.cpp,293	# 0.00 Gflop/s, 731.07 GB/s, tuning took 0.001925 seconds at Sat Feb 24 14:33:27 2024

# Total time spent in kernels = 11.264 seconds
