tunecache	1.1.0	1.1.0--sm_80	cpu_arch=x86_64,gpu_arch=sm_80,cuda_version=12.3.103	# Last updated Sat Feb 24 13:52:49 2024

          volume	name	aux	block.x	block.y	block.z	grid.x	grid.y	grid.z	shared_bytes	aux.x	aux.y	aux.z	aux.w	time	comment
     16x32x32x64	N4quda15CopyColorSpinorILi4ELi3ENS_11colorspinor11FloatNOrderIdLi4ELi3ELi2ELb0ELb0EEENS1_21SpaceSpinorColorOrderIdLi4ELi3EEESt5tupleIJRNS_16ColorSpinorFieldERKS7_19QudaFieldLocation_sPdPKdEEEE	GPU-offline,vol=1048576,parity=1,precision=8,order=9,Ns=4,Nc=3vol=1048576,parity=1,precision=8,order=2,Ns=4,Nc=3,NonRelBasis	928	1	1	1130	1	1	0	-1	-1	-1	-1	0.00175718	# 0.00 Gflop/s, 229.15 GB/s, tuning took 0.264841 seconds at Sat Feb 24 13:52:18 2024
     16x32x32x64	N4quda15CopyColorSpinorILi4ELi3ENS_11colorspinor21SpaceSpinorColorOrderIdLi4ELi3EEENS1_11FloatNOrderIdLi4ELi3ELi2ELb0ELb0EEESt5tupleIJRNS_16ColorSpinorFieldERKS7_19QudaFieldLocation_sPdPKdEEEE	GPU-offline,vol=1048576,parity=1,precision=8,order=2,Ns=4,Nc=3vol=1048576,parity=1,precision=8,order=9,Ns=4,Nc=3,RelBasis	96	1	1	10923	1	1	0	-1	-1	-1	-1	0.00170769	# 0.00 Gflop/s, 235.79 GB/s, tuning took 0.242445 seconds at Sat Feb 24 13:52:29 2024
     16x32x32x64	N4quda6WilsonINS_9WilsonArgIdLi3ELi4EL21QudaReconstructType_s12EEEEE	policy,commDim=0000,parity=1,topo=1111,p2p=0,gdr=0,nvshmem=0,pol=110000111100110000	32	1	1	1	1	1	0	9	0	0	-1	0.0114384	# 121.01 Gflop/s, 211.21 GB/s, tuning took 0.651915 seconds at Sat Feb 24 13:52:29 2024
     16x32x32x64	N4quda6WilsonINS_9WilsonArgIdLi3ELi4EL21QudaReconstructType_s12EEEEE	policy_kernel=interior,comm=0000,commDim=0000,parity=1	32	1	1	32768	1	1	20276	-1	-1	-1	-1	0.0114391	# 121.00 Gflop/s, 211.20 GB/s, tuning took 10.896019 seconds at Sat Feb 24 13:52:28 2024
     32x32x32x64	N4quda10GaugeGaussIdLi3EL21QudaReconstructType_s12EEE	GPU-offline,vol=2097152stride=1081344precision=8geometry=4Nc=3,lie_group	32	2	1	32768	1	1	2458	-1	-1	-1	-1	0.11636	# 0.00 Gflop/s, 7.14 GB/s, tuning took 71.902223 seconds at Sat Feb 24 13:52:07 2024
     32x32x32x64	N4quda12ExtractGhostIdLi3ENS_5gauge11FloatNOrderIdLi18ELi2ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEEEE	GPU-offline,vol=2097152stride=1081344precision=8geometry=4Nc=3,extract	32	1	8	2048	1	1	16385	-1	-1	-1	-1	0.000212378	# 0.00 Gflop/s, 207.37 GB/s, tuning took 0.360024 seconds at Sat Feb 24 13:48:44 2024
     32x32x32x64	N4quda7RNGInitE	GPU-offline,vol=2097152stride=1081344precision=8geometry=4Nc=3	64	2	1	16384	1	1	0	-1	-1	-1	-1	0.902539	# 0.00 Gflop/s, 0.00 GB/s, tuning took 117.566999 seconds at Sat Feb 24 13:50:54 2024
     32x32x32x64	N4quda9CopyGaugeINS_12CopyGaugeArgIddLi18ELb0ENS_5gauge11FloatNOrderIdLi18ELi2ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS2_8QDPOrderIdLi18EEEEEEE	GPU-offline,vol=2097152stride=1048576precision=8geometry=4Nc=3,vol=2097152stride=1081344precision=8geometry=4Nc=3	32	1	1	32768	1	8	2731	-1	-1	-1	-1	0.00824798	# 0.00 Gflop/s, 247.14 GB/s, tuning took 10.242438 seconds at Sat Feb 24 13:48:44 2024
     32x32x32x64	N4quda9CopyGaugeINS_12CopyGaugeArgIddLi18ELb0ENS_5gauge11FloatNOrderIdLi18ELi2ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEES6_EEEE	GPU-offline,vol=2097152stride=1081344precision=8geometry=4Nc=3,vol=2097152stride=1081344precision=8geometry=4Nc=3,ghost	64	1	5	512	1	2	16385	-1	-1	-1	-1	0.000155008	# 0.00 Gflop/s, 292.99 GB/s, tuning took 0.245817 seconds at Sat Feb 24 13:48:45 2024
     32x32x32x64	N4quda9CopyGaugeINS_12CopyGaugeArgIddLi18ELb0ENS_5gauge8QDPOrderIdLi18EEENS2_11FloatNOrderIdLi18ELi2ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEEEEEE	GPU-offline,vol=2097152stride=1081344precision=8geometry=4Nc=3,vol=2097152stride=1048576precision=8geometry=4Nc=3	96	1	1	10923	1	8	7022	-1	-1	-1	-1	0.00835823	# 0.00 Gflop/s, 243.88 GB/s, tuning took 10.352193 seconds at Sat Feb 24 13:52:17 2024
