tunecache	1.1.0	1.1.0-b869d61-dirty-gfx906	cpu_arch=x86_64,gpu_arch=gfx906,hip_version=14.0.0	# Last updated Sat Oct 28 19:58:21 2023

          volume	name	aux	block.x	block.y	block.z	grid.x	grid.y	grid.z	shared_bytes	aux.x	aux.y	aux.z	aux.w	time	comment
     16x16x16x32	N4quda10CopyCloverINS_6clover11FloatNOrderIfLi72ELi4ELb0ELb0ELb0EEENS2_IdLi72ELi2ELb0ELb0ELb0EEEfdEE	GPU-offline,vol=131072precision=8Nc=3	64	1	1	1024	2	1	2910	-1	-1	-1	-1	0.000185066	# 0.00 Gflop/s, 611.92 GB/s, tuning took 0.535235 seconds at Sat Oct 28 19:58:14 2023
     16x16x16x32	N4quda10CopyCloverINS_6clover11FloatNOrderIsLi72ELi8ELb0ELb0ELb0EEENS2_IdLi72ELi2ELb0ELb0ELb0EEEsdEE	GPU-offline,vol=131072precision=8Nc=3	64	1	1	1024	2	1	2134	-1	-1	-1	-1	0.000154423	# 0.00 Gflop/s, 611.13 GB/s, tuning took 0.128454 seconds at Sat Oct 28 19:58:13 2023
     16x16x16x32	N4quda10GaugeGaussIdLi3EL21QudaReconstructType_s12EEE	GPU-offline,vol=131072stride=69632precision=8geometry=4Nc=3,lie_group	64	1	1	1024	2	1	1143	-1	-1	-1	-1	0.00183792	# 0.00 Gflop/s, 29.10 GB/s, tuning took 0.699589 seconds at Sat Oct 28 17:56:34 2023
     16x16x16x32	N4quda11CopyGaugeExIddLi18ENS_5gauge11FloatNOrderIdLi18ELi2ELi18EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS2_IdLi18ELi2ELi12ELS3_0ELb1ELS4_n2147483648ELb0EEEEE	GPU-offline,vol=131072stride=69632precision=8geometry=4Nc=3vol=131072stride=65536precision=8geometry=4Nc=3r=0000	64	1	1	1024	2	1	1334	-1	-1	-1	-1	0.000188533	# 0.00 Gflop/s, 684.10 GB/s, tuning took 0.134550 seconds at Sat Oct 28 19:58:14 2023
     16x16x16x32	N4quda11CopyGaugeExIddLi18ENS_5gauge11FloatNOrderIdLi18ELi2ELi18EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEES5_EE	GPU-offline,vol=131072stride=69632precision=8geometry=4Nc=3vol=131072stride=65536precision=8geometry=4Nc=3r=0000	64	1	1	1024	2	1	1104	-1	-1	-1	-1	0.000218304	# 0.00 Gflop/s, 713.29 GB/s, tuning took 0.369142 seconds at Sat Oct 28 19:57:52 2023
     16x16x16x32	N4quda12CloverInvertIdEE	GPU-offline,vol=131072precision=8Nc=3,trlog=true,twist=false	64	2	1	120	1	1	2134	-1	-1	-1	-1	0.000606079	# 0.00 Gflop/s, 249.13 GB/s, tuning took 17.517622 seconds at Sat Oct 28 19:58:12 2023
     16x16x16x32	N4quda12ExtractGhostIdLi3ENS_5gauge11FloatNOrderIdLi18ELi2ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEEEE	GPU-offline,vol=131072stride=69632precision=8geometry=4Nc=3,extract	64	1	3	128	1	3	2462	-1	-1	-1	-1	2.976e-05	# 0.00 Gflop/s, 184.98 GB/s, tuning took 0.038915 seconds at Sat Oct 28 17:56:33 2023
     16x16x16x32	N4quda12ExtractGhostIdLi3ENS_5gauge11FloatNOrderIdLi18ELi2ELi18EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEEEE	GPU-offline,vol=131072stride=69632precision=8geometry=4Nc=3,extract	256	1	1	32	1	8	16001	-1	-1	-1	-1	4.28648e-05	# 0.00 Gflop/s, 192.64 GB/s, tuning took 0.065419 seconds at Sat Oct 28 19:57:51 2023
     16x16x16x32	N4quda13ComputeCloverIdEE	GPU-offline,vol=131072precision=8Nc=3	256	1	1	256	2	1	0	-1	-1	-1	-1	0.0002608	# 241.24 Gflop/s, 723.71 GB/s, tuning took 0.027854 seconds at Sat Oct 28 19:57:55 2023
     16x16x16x32	N4quda5FmunuIdLi3EL21QudaReconstructType_s18EEE	GPU-offline,vol=131072stride=65536precision=8geometry=4Nc=3r=0000,comm=0000	128	2	1	512	1	6	4572	-1	-1	-1	-1	0.00224288	# 864.67 Gflop/s, 858.36 GB/s, tuning took 2.468026 seconds at Sat Oct 28 19:57:55 2023
     16x16x16x32	N4quda7RNGInitE	GPU-offline,vol=131072stride=69632precision=8geometry=4Nc=3	192	1	1	342	2	1	0	-1	-1	-1	-1	0.00012562	# 0.00 Gflop/s, 0.00 GB/s, tuning took 0.011985 seconds at Sat Oct 28 17:56:33 2023
     16x16x16x32	N4quda9CopyGaugeINS_12CopyGaugeArgIddLi18ELb0ENS_5gauge11FloatNOrderIdLi18ELi2ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS2_8QDPOrderIdLi18EEEEEEE	GPU-offline,vol=131072stride=65536precision=8geometry=4Nc=3,vol=131072stride=69632precision=8geometry=4Nc=3	64	1	1	1024	1	8	10667	-1	-1	-1	-1	0.000171333	# 0.00 Gflop/s, 752.77 GB/s, tuning took 0.119298 seconds at Sat Oct 28 17:56:33 2023
     16x16x16x32	N4quda9CopyGaugeINS_12CopyGaugeArgIddLi18ELb0ENS_5gauge11FloatNOrderIdLi18ELi2ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEES6_EEEE	GPU-offline,vol=131072stride=69632precision=8geometry=4Nc=3,vol=131072stride=69632precision=8geometry=4Nc=3,ghost	192	1	1	22	1	8	6401	-1	-1	-1	-1	1.37513e-05	# 0.00 Gflop/s, 425.35 GB/s, tuning took 0.028694 seconds at Sat Oct 28 17:56:33 2023
     16x16x16x32	N4quda9CopyGaugeINS_12CopyGaugeArgIddLi18ELb0ENS_5gauge11FloatNOrderIdLi18ELi2ELi18EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS2_8QDPOrderIdLi18EEEEEEE	GPU-offline,vol=131072stride=65536precision=8geometry=4Nc=3,vol=131072stride=69632precision=8geometry=4Nc=3	64	1	1	1024	1	8	8001	-1	-1	-1	-1	0.000243104	# 0.00 Gflop/s, 640.52 GB/s, tuning took 0.706384 seconds at Sat Oct 28 19:57:51 2023
     16x16x16x32	N4quda9CopyGaugeINS_12CopyGaugeArgIddLi18ELb0ENS_5gauge11FloatNOrderIdLi18ELi2ELi18EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEES6_EEEE	GPU-offline,vol=131072stride=69632precision=8geometry=4Nc=3,vol=131072stride=69632precision=8geometry=4Nc=3,ghost	192	1	1	22	1	8	3556	-1	-1	-1	-1	2.07314e-05	# 0.00 Gflop/s, 423.20 GB/s, tuning took 0.051695 seconds at Sat Oct 28 19:57:51 2023
     16x16x16x32	N4quda9CopyGaugeINS_12CopyGaugeArgIddLi18ELb0ENS_5gauge8QDPOrderIdLi18EEENS2_11FloatNOrderIdLi18ELi2ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEEEEEE	GPU-offline,vol=131072stride=69632precision=8geometry=4Nc=3,vol=131072stride=65536precision=8geometry=4Nc=3	64	1	1	1024	1	8	16001	-1	-1	-1	-1	0.000288	# 0.00 Gflop/s, 447.83 GB/s, tuning took 0.151011 seconds at Sat Oct 28 17:56:34 2023
     16x16x16x32	N4quda9CopyGaugeINS_12CopyGaugeArgIfdLi18ELb0ENS_5gauge11FloatNOrderIfLi18ELi4ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS3_IdLi18ELi2ELi12ELS4_0ELb1ELS5_n2147483648ELb0EEEEEEE	GPU-offline,vol=131072stride=69632precision=8geometry=4Nc=3,vol=131072stride=69632precision=4geometry=4Nc=3	192	1	1	342	1	8	10667	-1	-1	-1	-1	0.000101216	# 0.00 Gflop/s, 792.52 GB/s, tuning took 0.068363 seconds at Sat Oct 28 17:56:33 2023
     16x16x16x32	N4quda9CopyGaugeINS_12CopyGaugeArgIfdLi18ELb0ENS_5gauge11FloatNOrderIfLi18ELi4ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS3_IdLi18ELi2ELi12ELS4_0ELb1ELS5_n2147483648ELb0EEEEEEE	GPU-offline,vol=131072stride=69632precision=8geometry=4Nc=3,vol=131072stride=69632precision=4geometry=4Nc=3,ghost	64	1	4	64	1	2	5334	-1	-1	-1	-1	1.22731e-05	# 0.00 Gflop/s, 357.43 GB/s, tuning took 0.027043 seconds at Sat Oct 28 17:56:33 2023
     16x16x16x32	N4quda9CopyGaugeINS_12CopyGaugeArgIfdLi18ELb0ENS_5gauge11FloatNOrderIfLi18ELi4ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS3_IdLi18ELi2ELi18ELS4_0ELb1ELS5_n2147483648ELb0EEEEEEE	GPU-offline,vol=131072stride=69632precision=8geometry=4Nc=3,vol=131072stride=69632precision=4geometry=4Nc=3	192	1	1	342	1	8	10667	-1	-1	-1	-1	0.00010536	# 0.00 Gflop/s, 1015.14 GB/s, tuning took 0.108091 seconds at Sat Oct 28 19:57:51 2023
     16x16x16x32	N4quda9CopyGaugeINS_12CopyGaugeArgIfdLi18ELb0ENS_5gauge11FloatNOrderIfLi18ELi4ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS3_IdLi18ELi2ELi18ELS4_0ELb1ELS5_n2147483648ELb0EEEEEEE	GPU-offline,vol=131072stride=69632precision=8geometry=4Nc=3,vol=131072stride=69632precision=4geometry=4Nc=3,ghost	192	1	1	22	1	8	2667	-1	-1	-1	-1	1.51281e-05	# 0.00 Gflop/s, 386.64 GB/s, tuning took 0.477560 seconds at Sat Oct 28 19:57:52 2023
     16x16x16x32	N4quda9CopyGaugeINS_12CopyGaugeArgIsdLi18ELb0ENS_5gauge11FloatNOrderIsLi18ELi4ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS3_IdLi18ELi2ELi12ELS4_0ELb1ELS5_n2147483648ELb0EEEEEEE	GPU-offline,vol=131072stride=69632precision=8geometry=4Nc=3,vol=131072stride=69632precision=2geometry=4Nc=3	256	1	1	256	1	8	16001	-1	-1	-1	-1	8.57066e-05	# 0.00 Gflop/s, 779.95 GB/s, tuning took 0.062836 seconds at Sat Oct 28 17:56:33 2023
     16x16x16x32	N4quda9CopyGaugeINS_12CopyGaugeArgIsdLi18ELb0ENS_5gauge11FloatNOrderIsLi18ELi4ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS3_IdLi18ELi2ELi12ELS4_0ELb1ELS5_n2147483648ELb0EEEEEEE	GPU-offline,vol=131072stride=69632precision=8geometry=4Nc=3,vol=131072stride=69632precision=2geometry=4Nc=3,ghost	256	1	1	16	1	8	8001	-1	-1	-1	-1	1.16854e-05	# 0.00 Gflop/s, 312.84 GB/s, tuning took 0.027128 seconds at Sat Oct 28 17:56:33 2023
     16x16x16x32	N4quda9CopyGaugeINS_12CopyGaugeArgIsdLi18ELb0ENS_5gauge11FloatNOrderIsLi18ELi4ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS3_IdLi18ELi2ELi18ELS4_0ELb1ELS5_n2147483648ELb0EEEEEEE	GPU-offline,vol=131072stride=69632precision=8geometry=4Nc=3,vol=131072stride=69632precision=2geometry=4Nc=3	128	1	1	512	1	8	6401	-1	-1	-1	-1	8.89162e-05	# 0.00 Gflop/s, 1052.51 GB/s, tuning took 0.079861 seconds at Sat Oct 28 19:57:51 2023
